VD	AGE_AT_LE_EVAL	Number	Optional	Age of subject (in days) when the late effect evaluation was performed.	ncit:C185670	_undefined_	_undefined_	_undefined_
VD	LE	Code	Optional	Any symptom or condition which is a result of a medical intervention but arises months or years after it.	ncit:C4808	_undefined_	_undefined_	_undefined_
PD						Endocrine Disorder	A non-neoplastic or neoplastic disorder that affects the endocrine system. Representative examples of non-neoplastic disorders include diabetes mellitus, hyperthyroidism, and adrenal gland insufficiency. Representative examples of neoplastic disorders include carcinoid tumor, neuroendocrine carcinoma, and pheochromocytoma.	ncit:C3009	Note: If multiple late effects, include one observation per late effect.
PD						Cardiovascular Disorder	A non-neoplastic or neoplastic disorder affecting the heart or the vessels (arteries, veins and lymph vessels). Representative examples of non-neoplastic cardiovascular disorders are endocarditis and hypertension. Representative examples of neoplastic cardiovascular disorders are endocardial myxoma and angiosarcoma.	ncit:C2931
PD						Musculoskeletal Disorder	A non-neoplastic or neoplastic disorder that affects muscles and bones.	ncit:C107377
PD						Neurological Disorder	A non-neoplastic or neoplastic disorder that affects the brain, spinal cord, or peripheral nerves.	ncit:C26835
PD						Pulmonary Disorder	A non-neoplastic or neoplastic disorder affecting the lung. Representative examples of non-neoplastic disorders include chronic obstructive pulmonary disease and pneumonia. Representative examples of neoplastic disorders include benign processes (e.g., respiratory papilloma) and malignant processes (e.g., lung carcinoma and metastatic cancer to the lung).	ncit:C3198
PD						Fatigue	Overall tiredness and lack of energy.	ncit:C3036
PD						Breast Hypoplasia	Underdevelopment of the breast.	ncit:C78222
PD						Dermatologic Disorder	Any deviation from the normal structure or function of the skin or subcutaneous tissue that is manifested by a characteristic set of symptoms and signs.	ncit:C3371
PD						Xerostomia	Dryness of the oral mucosa secondary to a decrease in saliva production, or a change in saliva composition.	ncit:C26917
PD						Genitourinary Disorder	A non-neoplastic or neoplastic disorder that affects the genitourinary system.	ncit:C156660
PD						Immunologic Disorder	A disorder resulting from an abnormality in the immune system.	ncit:C3507
PD						GI Disorder	A non-neoplastic or neoplastic disorder that affects the gastrointestinal tract, anus, liver, biliary system, and pancreas.	ncit:C2990
PD						Psychiatric Disorder	A disorder characterized by behavioral and/or psychological abnormalities, often accompanied by physical symptoms. The symptoms may cause clinically significant distress or impairment in social and occupational areas of functioning. Representative examples include anxiety disorders, cognitive disorders, mood disorders and schizophrenia.	ncit:C2893
VD	LE_DETAIL	Code	Optional	An in-depth explanation of a health problem that occurs months or years after a disease is diagnosed or after treatment has ended.	ncit:C185686	_undefined_	_undefined_	_undefined_
PD						Thyroid Disorder	A non-neoplastic or neoplastic disorder that affects the thyroid gland. Representative examples include hyperthyroidism, hypothyroidism, thyroiditis, follicular adenoma, and carcinoma.	ncit:C26893	Note: If multiple late effect details, include one observation per late effect detail.
PD						Gonadal Dysfunction	A non-neoplastic or neoplastic disorder that affects the testis or the ovary.	ncit:C26786
PD						Conduction Abnormality	A disorder affecting the conduction system that sends electrical signals in the myocardium.	ncit:C78245
PD						Arrhythmia	Any variation from the normal rate or rhythm (which may include the origin of the impulse and/or its subsequent propagation) in the heart.	ncit:C2881
PD						Valvular Disease	Any heart disorder characterized by a defect in valve structure or function.	ncit:C45525
PD						Ventricular Dysfunction	Impairment of the ventricle to either fill or eject adequately.	ncit:C111655
PD						Pericarditis	An inflammatory process affecting the pericardium.	ncit:C34915
PD						Vascular Disorder	A non-neoplastic or neoplastic disorder affecting the arteries, veins, or lymphatic vessels. Examples include vasculitis, thrombophlebitis, arteriosclerosis, lymphedema, hemangioma, and angiosarcoma.	ncit:C35117
PD						Hypertension	Blood pressure that is abnormally high.	ncit:C3117
PD						Avascular-Necrosis	Tissue death resulting from an interruption to the blood supply.	ncit:C118385
PD						Osteopenia	Decreased calcification or density of bone tissue.	ncit:C50910
PD						Osteoporosis	A condition of reduced bone mass, with decreased cortical thickness and a decrease in the number and size of the trabeculae of cancellous bone (but normal chemical composition), resulting in increased fracture incidence. Osteoporosis is classified as primary (Type 1, postmenopausal osteoporosis; Type 2, age-associated osteoporosis; and idiopathic, which can affect juveniles, premenopausal women, and middle-aged men) and secondary osteoporosis (which results from an identifiable cause of bone mass loss).	ncit:C3298
PD						Scoliosis	A congenital or acquired spinal deformity characterized by lateral curvature of the spine.	ncit:C78603
PD						Arthritis	An inflammatory process affecting a joint. Causes include infection, autoimmune processes, degenerative processes, and trauma. Signs and symptoms may include swelling around the affected joint and pain.	ncit:C2883
PD						Musculoskeletal Hypoplasia	Underdevelopment or incomplete development of the musculoskeletal system.	ncit:C185696
PD						Neuropathy	A disorder affecting the cranial nerves or the peripheral nervous system. It manifests with pain, tingling, numbness, and muscle weakness. It may be the result of physical injury, toxic substances, viral diseases, diabetes, renal failure, cancer, and drugs.	ncit:C4731
PD						Neurocognitive Functions	Having to do with the ability to think and reason. This includes the ability to concentrate, remember things, process information, learn, speak, and understand.	ncit:C94321
PD						Stroke	A sudden loss of neurological function secondary to hemorrhage or ischemia in the brain parenchyma due to a vascular event.	ncit:C3390
PD						Restrictive Lung Disease	Decreased lung volume and inadequate ventilation due to parenchymal lung disorders (e.g., interstitial pulmonary fibrosis) or extrapulmonary disorders (e.g., scoliosis). Patients present with shortness of breath and cough.	ncit:C91762
PD						Obstructive Lung Disease	A chronic and progressive lung disorder characterized by the loss of elasticity of the bronchial tree and the air sacs, destruction of the air sacs wall, thickening of the bronchial wall, and mucous accumulation in the bronchial tree. The pathologic changes result in the disruption of the air flow in the bronchial airways. Signs and symptoms include shortness of breath, wheezing, productive cough, and chest tightness. The two main types of chronic obstructive pulmonary disease are chronic obstructive bronchitis and emphysema.	ncit:C3199
PD						Reactive Airway Disease	Coughing, wheezing, or shortness of breath that is triggered by allergens, infection, or other irritants.	ncit:C113673
PD						Pigment Changes	Abnormal skin pigmentation.	ncit:C124224
PD						Dryness	The lack of natural or normal moisture.	ncit:C25489
PD						Atrophy	Any weakening or degeneration, especially through lack of use.	ncit:C79748
PD						Contraction	The process where thick (myosin) and thin (actin) filaments slide against each other to produce a shortening or tensing of the muscle cell or fiber.	ncit:C30085
PD						Scarring	A permanent mark left on the skin in the process of wound healing.	ncit:C34483
PD						Telangiectasia	Local dilatation of small vessels resulting in red discoloration of the skin or mucous membranes.	ncit:C28194
PD						Renal Disorder	A neoplastic or non-neoplastic condition affecting the kidney. Representative examples of non-neoplastic conditions include glomerulonephritis and nephrotic syndrome. Representative examples of neoplastic conditions include benign processes (e.g., renal lipoma and renal fibroma) and malignant processes (e.g., renal cell carcinoma and renal lymphoma).	ncit:C3149
PD						Bladder Disorder	A non-neoplastic or neoplastic disorder affecting the urinary bladder. A representative example of non-neoplastic bladder disorder is bacterial bladder infection. A representative example of neoplastic bladder disorder is bladder carcinoma.	ncit:C2900
